Genres,Popularity
pop,17
rap,11
latin,9
reggaeton,9
trap latino,8
dance pop,7
hip hop,6
canadian pop,5
contemporary country,4
canadian hip hop,3
toronto rap,3
permanent wave,2
piano rock,2
viral pop,2
afrofuturism,2
dfw rap,2
melodic rap,2
rock,2
minnesota hip hop,2
atl hip hop,2
southern hip hop,2
trap,2
pop rap,2
r&b,2
art pop,1
art rock,1
baroque pop,1
new wave pop,1
singer-songwriter,1
uk pop,1
alternative r&b,1
hard rock,1
metal,1
old school thrash,1
thrash metal,1
deep underground hip hop,1
kentucky hip hop,1
escape room,1
trap queen,1
gauze pop,1
indietronica,1
shiver pop,1
pop rock,1
oklahoma country,1
australian hip hop,1
conscious hip hop,1
north carolina hip hop,1
modern alternative rock,1
modern rock,1
shimmer pop,1
canadian contemporary r&b,1
reggaeton colombiano,1
gen z singer-songwriter,1
country,1
dmv rap,1
garage rock,1
sheffield indie,1
brooklyn drill,1
nyc rap,1
